462,113,526,107,528,128,465,134,ARMANI
523,108,611,101,612,118,525,126,EXCHANGE
467,132,523,125,523,143,467,150,G-STAR
532,125,590,118,591,136,533,143,CALVIN
590,120,636,116,637,134,591,137,KLEIN
631,115,687,111,690,128,635,133,JEANS
467,151,521,145,522,160,468,167,BREAD
522,145,535,144,537,160,523,161,###
535,141,598,137,599,155,537,159,BUTTER
608,136,649,133,650,150,609,153,TRUE
649,132,723,125,724,143,650,150,###
391,158,417,155,418,174,392,176,B1
1,158,85,151,85,203,1,210,###
176,288,269,285,270,303,177,305,###
1041,181,1132,173,1140,243,1049,251,SALE
